country,same_sex_support,percentage
Armenia,Favor,2.1883289124668437
Armenia,Oppose,4.509283819628647
Armenia,Strongly favor,0.5968169761273209
Armenia,Strongly oppose,92.70557029177718
Belarus,Favor,12.8099173553719
Belarus,Oppose,19.903581267217632
Belarus,Strongly favor,4.476584022038567
Belarus,Strongly oppose,62.8099173553719
Bosnia,Favor,9.966555183946488
Bosnia,Oppose,14.180602006688964
Bosnia,Strongly favor,2.140468227424749
Bosnia,Strongly oppose,73.7123745819398
Bulgaria,Favor,15.897435897435896
Bulgaria,Oppose,29.03846153846154
Bulgaria,Strongly favor,2.628205128205128
Bulgaria,Strongly oppose,52.43589743589744
Croatia,Favor,21.671018276762403
Croatia,Oppose,21.344647519582246
Croatia,Strongly favor,13.185378590078328
Croatia,Strongly oppose,43.79895561357702
Czech Republic,Favor,54.23487544483986
Czech Republic,Oppose,20.498220640569397
Czech Republic,Strongly favor,15.373665480427047
Czech Republic,Strongly oppose,9.8932384341637
Estonia,Favor,16.67719519898926
Estonia,Oppose,24.952621604548327
Estonia,Strongly favor,5.116866708780796
Estonia,Strongly oppose,53.253316487681616
Georgia,Favor,2.3952095808383236
Georgia,Oppose,5.056553559547571
Georgia,Strongly favor,0.2661343978709248
Georgia,Strongly oppose,92.28210246174318
Greece,Favor,20.82444918265814
Greece,Oppose,35.678749111584935
Greece,Strongly favor,10.44776119402985
Greece,Strongly oppose,33.04904051172708
Hungary,Favor,25.46262028127313
Hungary,Oppose,41.598815692079945
Hungary,Strongly favor,4.58919319022946
Hungary,Strongly oppose,28.34937083641747
Kazakhstan,Favor,5.5
Kazakhstan,Oppose,12.5
Kazakhstan,Strongly favor,1.5625
Kazakhstan,Strongly oppose,80.4375
Latvia,Favor,13.919894944189101
Latvia,Oppose,22.193040052527905
Latvia,Strongly favor,3.545633617859488
Latvia,Strongly oppose,60.341431385423505
Lithuania,Favor,10.059563203176705
Lithuania,Oppose,32.428855062872266
Lithuania,Strongly favor,1.1912640635340834
Lithuania,Strongly oppose,56.32031767041694
Moldova,Favor,3.8975501113585747
Moldova,Oppose,5.79064587973274
Moldova,Strongly favor,0.33407572383073497
Moldova,Strongly oppose,89.97772828507794
Poland,Favor,26.26797880393641
Poland,Oppose,31.642694928084786
Poland,Strongly favor,7.721423164269494
Poland,Strongly oppose,34.36790310370931
Romania,Favor,19.83594332587621
Romania,Oppose,7.979120059656973
Romania,Strongly favor,8.053691275167784
Romania,Strongly oppose,64.13124533929903
Russia,Favor,4.473796335747763
Russia,Oppose,12.05794631444397
Russia,Strongly favor,0.6391137622496805
Russia,Strongly oppose,82.82914358755859
Serbia,Favor,10.127431254191817
Serbia,Oppose,18.779342723004692
Serbia,Strongly favor,2.5486250838363516
Serbia,Strongly oppose,68.54460093896714
Ukraine,Favor,7.712648743940062
Ukraine,Oppose,14.896430145438519
Ukraine,Strongly favor,1.4543851917144115
Ukraine,Strongly oppose,75.93653591890701
