country,abortion_support,percentage
Austria,Illegal in all cases,5.769230769230769
Austria,Illegal in most cases,13.122171945701359
Austria,Legal in all cases,17.647058823529413
Austria,Legal in most cases,63.46153846153846
Belgium,Illegal in all cases,2.2618231665524333
Belgium,Illegal in most cases,8.224811514736121
Belgium,Legal in all cases,36.943111720356406
Belgium,Legal in most cases,52.57025359835503
Denmark,Illegal in all cases,1.36986301369863
Denmark,Illegal in most cases,3.8356164383561646
Denmark,Legal in all cases,56.232876712328775
Denmark,Legal in most cases,38.56164383561644
Finland,Illegal in all cases,2.8551532033426184
Finland,Illegal in most cases,6.337047353760446
Finland,Legal in all cases,47.07520891364902
Finland,Legal in most cases,43.73259052924791
France,Illegal in all cases,5.454545454545454
France,Illegal in most cases,9.943181818181818
France,Legal in all cases,28.18181818181818
France,Legal in most cases,56.42045454545455
Germany,Illegal in all cases,4.814305364511692
Germany,Illegal in most cases,11.600183402109124
Germany,Legal in all cases,19.16552040348464
Germany,Legal in most cases,64.41999082989454
Ireland,Illegal in all cases,8.749145591250855
Ireland,Illegal in most cases,16.609706083390293
Ireland,Legal in all cases,13.397129186602871
Ireland,Legal in most cases,61.24401913875598
Italy,Illegal in all cases,8.526256352343308
Italy,Illegal in most cases,16.149068322981368
Italy,Legal in all cases,17.6171654432524
Italy,Legal in most cases,57.70750988142292
Netherlands,Illegal in all cases,4.582763337893296
Netherlands,Illegal in most cases,8.002735978112176
Netherlands,Legal in all cases,37.14090287277701
Netherlands,Legal in most cases,50.273597811217506
Norway,Illegal in all cases,4.732510288065844
Norway,Illegal in most cases,11.385459533607682
Norway,Legal in all cases,40.46639231824417
Norway,Legal in most cases,43.415637860082306
Portugal,Illegal in all cases,9.058988764044944
Portugal,Illegal in most cases,20.435393258426966
Portugal,Legal in all cases,19.9438202247191
Portugal,Legal in most cases,50.56179775280899
Slovak Republic,Illegal in all cases,13.276231263383298
Slovak Republic,Illegal in most cases,12.776588151320487
Slovak Republic,Legal in all cases,40.328336902212705
Slovak Republic,Legal in most cases,33.61884368308351
Spain,Illegal in all cases,7.329462989840348
Spain,Illegal in most cases,10.88534107402032
Spain,Legal in all cases,32.075471698113205
Spain,Legal in most cases,49.709724238026126
Sweden,Illegal in all cases,1.307639366827254
Sweden,Illegal in most cases,2.271163110805231
Sweden,Legal in all cases,70.95664143152099
Sweden,Legal in most cases,25.464556090846525
Switzerland,Illegal in all cases,6.65068903535051
Switzerland,Illegal in most cases,11.324146195326543
Switzerland,Legal in all cases,15.278609946075495
Switzerland,Legal in most cases,66.74655482324745
United Kingdom,Illegal in all cases,6.191780821917808
United Kingdom,Illegal in most cases,11.123287671232877
United Kingdom,Legal in all cases,15.616438356164384
United Kingdom,Legal in most cases,67.06849315068493
