country,same_sex_support,percentage
Austria,Favor,65.15580736543909
Austria,Oppose,12.35127478753541
Austria,Strongly favor,15.58073654390935
Austria,Strongly oppose,6.912181303116147
Belgium,Favor,49.358974358974365
Belgium,Oppose,6.339031339031339
Belgium,Strongly favor,41.66666666666667
Belgium,Strongly oppose,2.6353276353276356
Denmark,Favor,45.56962025316456
Denmark,Oppose,6.329113924050633
Denmark,Strongly favor,45.56962025316456
Denmark,Strongly oppose,2.5316455696202533
Finland,Favor,45.556385362210605
Finland,Oppose,20.089619118745333
Finland,Strongly favor,23.52501867064974
Finland,Strongly oppose,10.828976848394325
France,Favor,63.59976998274871
France,Oppose,13.801035077630821
France,Strongly favor,16.27372052903968
France,Strongly oppose,6.325474410580793
Germany,Favor,63.719651855245075
Germany,Oppose,11.818598259276225
Germany,Strongly favor,18.781493357764546
Germany,Strongly oppose,5.680256527714154
Ireland,Favor,59.43134535367545
Ireland,Oppose,15.256588072122051
Ireland,Strongly favor,17.05963938973648
Ireland,Strongly oppose,8.25242718446602
Italy,Favor,56.7062818336163
Italy,Oppose,18.9586870401811
Italy,Strongly favor,13.582342954159593
Italy,Strongly oppose,10.75268817204301
Netherlands,Favor,63.547486033519554
Netherlands,Oppose,7.0530726256983245
Netherlands,Strongly favor,27.02513966480447
Netherlands,Strongly oppose,2.3743016759776534
Norway,Favor,52.38095238095239
Norway,Oppose,13.690476190476192
Norway,Strongly favor,25.669642857142854
Norway,Strongly oppose,8.258928571428571
Portugal,Favor,55.824508320726174
Portugal,Oppose,15.204236006051437
Portugal,Strongly favor,20.347957639939484
Portugal,Strongly oppose,8.623298033282904
Slovak Republic,Favor,28.062678062678064
Slovak Republic,Oppose,17.59259259259259
Slovak Republic,Strongly favor,23.005698005698004
Slovak Republic,Strongly oppose,31.339031339031337
Spain,Favor,57.635829662261386
Spain,Oppose,9.030837004405285
Spain,Strongly favor,30.76358296622614
Spain,Strongly oppose,2.5697503671071953
Sweden,Favor,41.39142656359803
Sweden,Oppose,4.778636683063949
Sweden,Strongly favor,51.37034434293746
Sweden,Strongly oppose,2.459592410400562
Switzerland,Favor,65.74685062987402
Switzerland,Oppose,11.337732453509298
Switzerland,Strongly favor,16.556688662267547
Switzerland,Strongly oppose,6.35872825434913
United Kingdom,Favor,65.73002754820936
United Kingdom,Oppose,11.515151515151516
United Kingdom,Strongly favor,16.088154269972453
United Kingdom,Strongly oppose,6.666666666666667
