country,abortion_support,percentage
Armenia,Illegal in all cases,25.905673274094326
Armenia,Illegal in most cases,12.303485987696513
Armenia,Legal in all cases,30.553656869446343
Armenia,Legal in most cases,31.237183868762813
Belarus,Illegal in all cases,13.440111420612814
Belarus,Illegal in most cases,42.4791086350975
Belarus,Legal in all cases,15.87743732590529
Belarus,Legal in most cases,28.203342618384404
Bosnia,Illegal in all cases,22.573984858912592
Bosnia,Illegal in most cases,24.63867859600826
Bosnia,Legal in all cases,17.687543014452856
Bosnia,Legal in most cases,35.099793530626286
Bulgaria,Illegal in all cases,8.960104643557882
Bulgaria,Illegal in most cases,5.624591236102027
Bulgaria,Legal in all cases,57.8155657292348
Bulgaria,Legal in most cases,27.599738391105298
Croatia,Illegal in all cases,12.917737789203084
Croatia,Illegal in most cases,23.20051413881748
Croatia,Legal in all cases,24.48586118251928
Croatia,Legal in most cases,39.39588688946015
Czech Republic,Illegal in all cases,3.645116918844567
Czech Republic,Illegal in most cases,11.141678129298487
Czech Republic,Legal in all cases,41.95323246217332
Czech Republic,Legal in most cases,43.259972489683626
Estonia,Illegal in all cases,3.5264483627204033
Estonia,Illegal in most cases,13.350125944584383
Estonia,Legal in all cases,48.2367758186398
Estonia,Legal in most cases,34.886649874055415
Georgia,Illegal in all cases,34.20150788211104
Georgia,Illegal in most cases,54.4893762851268
Georgia,Legal in all cases,4.729266620973269
Georgia,Legal in most cases,6.579849211788896
Greece,Illegal in all cases,12.438162544169613
Greece,Illegal in most cases,36.32508833922262
Greece,Legal in all cases,18.51590106007067
Greece,Legal in most cases,32.72084805653711
Hungary,Illegal in all cases,3.9914468995010695
Hungary,Illegal in most cases,22.16678545972915
Hungary,Legal in all cases,21.311475409836063
Hungary,Legal in most cases,52.53029223093372
Kazakhstan,Illegal in all cases,20.916334661354583
Kazakhstan,Illegal in most cases,40.37184594953519
Kazakhstan,Legal in all cases,15.670650730411687
Kazakhstan,Legal in most cases,23.04116865869854
Latvia,Illegal in all cases,6.955380577427822
Latvia,Illegal in most cases,32.808398950131235
Latvia,Legal in all cases,31.299212598425196
Latvia,Legal in most cases,28.937007874015748
Lithuania,Illegal in all cases,10.950413223140496
Lithuania,Illegal in most cases,33.88429752066116
Lithuania,Legal in all cases,10.46831955922865
Lithuania,Legal in most cases,44.696969696969695
Moldova,Illegal in all cases,35.1335656213705
Moldova,Illegal in most cases,49.07084785133566
Moldova,Legal in all cases,6.736353077816492
Moldova,Legal in most cases,9.059233449477352
Poland,Illegal in all cases,15.022421524663676
Poland,Illegal in most cases,41.33034379671151
Poland,Legal in all cases,8.071748878923767
Poland,Legal in most cases,35.57548579970104
Romania,Illegal in all cases,14.05775075987842
Romania,Illegal in most cases,24.620060790273556
Romania,Legal in all cases,20.060790273556233
Romania,Legal in most cases,41.26139817629179
Russia,Illegal in all cases,18.53486319505737
Russia,Illegal in most cases,43.998234774933806
Russia,Legal in all cases,15.62224183583407
Russia,Legal in most cases,21.844660194174757
Serbia,Illegal in all cases,14.673913043478262
Serbia,Illegal in most cases,16.915760869565215
Serbia,Legal in all cases,31.25
Serbia,Legal in most cases,37.16032608695652
Ukraine,Illegal in all cases,24.643678160919542
Ukraine,Illegal in most cases,42.39080459770115
Ukraine,Legal in all cases,13.379310344827585
Ukraine,Legal in most cases,19.586206896551726
