country,abortion_support,percentage
Armenia,Illegal in all cases,25.90567327409433
Armenia,Illegal in most cases,12.303485987696511
Armenia,Legal in all cases,30.553656869446343
Armenia,Legal in most cases,31.237183868762813
Belarus,Illegal in all cases,13.440111420612814
Belarus,Illegal in most cases,42.4791086350975
Belarus,Legal in all cases,15.87743732590529
Belarus,Legal in most cases,28.203342618384404
Bosnia and Herzegovina,Illegal in all cases,22.573984858912592
Bosnia and Herzegovina,Illegal in most cases,24.63867859600826
Bosnia and Herzegovina,Legal in all cases,17.687543014452856
Bosnia and Herzegovina,Legal in most cases,35.099793530626286
Bulgaria,Illegal in all cases,8.960104643557882
Bulgaria,Illegal in most cases,5.624591236102027
Bulgaria,Legal in all cases,57.8155657292348
Bulgaria,Legal in most cases,27.599738391105294
Croatia,Illegal in all cases,12.917737789203084
Croatia,Illegal in most cases,23.20051413881748
Croatia,Legal in all cases,24.48586118251928
Croatia,Legal in most cases,39.39588688946015
Czech Republic,Illegal in all cases,3.645116918844567
Czech Republic,Illegal in most cases,11.141678129298487
Czech Republic,Legal in all cases,41.95323246217332
Czech Republic,Legal in most cases,43.259972489683626
Estonia,Illegal in all cases,3.5264483627204037
Estonia,Illegal in most cases,13.350125944584384
Estonia,Legal in all cases,48.2367758186398
Estonia,Legal in most cases,34.886649874055415
Georgia,Illegal in all cases,34.20150788211104
Georgia,Illegal in most cases,54.4893762851268
Georgia,Legal in all cases,4.729266620973269
Georgia,Legal in most cases,6.579849211788896
Greece,Illegal in all cases,12.438162544169613
Greece,Illegal in most cases,36.32508833922262
Greece,Legal in all cases,18.51590106007067
Greece,Legal in most cases,32.72084805653711
Hungary,Illegal in all cases,3.9914468995010695
Hungary,Illegal in most cases,22.16678545972915
Hungary,Legal in all cases,21.311475409836063
Hungary,Legal in most cases,52.53029223093372
Kazakhstan,Illegal in all cases,20.916334661354583
Kazakhstan,Illegal in most cases,40.37184594953519
Kazakhstan,Legal in all cases,15.670650730411689
Kazakhstan,Legal in most cases,23.04116865869854
Latvia,Illegal in all cases,6.955380577427822
Latvia,Illegal in most cases,32.808398950131235
Latvia,Legal in all cases,31.2992125984252
Latvia,Legal in most cases,28.937007874015748
Lithuania,Illegal in all cases,10.950413223140496
Lithuania,Illegal in most cases,33.88429752066116
Lithuania,Legal in all cases,10.46831955922865
Lithuania,Legal in most cases,44.696969696969695
Moldova,Illegal in all cases,35.1335656213705
Moldova,Illegal in most cases,49.07084785133566
Moldova,Legal in all cases,6.736353077816492
Moldova,Legal in most cases,9.059233449477352
Poland,Illegal in all cases,15.022421524663676
Poland,Illegal in most cases,41.33034379671151
Poland,Legal in all cases,8.071748878923767
Poland,Legal in most cases,35.57548579970104
Romania,Illegal in all cases,14.05775075987842
Romania,Illegal in most cases,24.62006079027356
Romania,Legal in all cases,20.060790273556236
Romania,Legal in most cases,41.26139817629179
Russia,Illegal in all cases,18.53486319505737
Russia,Illegal in most cases,43.998234774933806
Russia,Legal in all cases,15.62224183583407
Russia,Legal in most cases,21.84466019417476
Serbia,Illegal in all cases,14.673913043478262
Serbia,Illegal in most cases,16.915760869565215
Serbia,Legal in all cases,31.25
Serbia,Legal in most cases,37.16032608695652
Ukraine,Illegal in all cases,24.643678160919546
Ukraine,Illegal in most cases,42.39080459770115
Ukraine,Legal in all cases,13.379310344827584
Ukraine,Legal in most cases,19.58620689655173
Austria,Illegal in all cases,5.769230769230769
Austria,Illegal in most cases,13.12217194570136
Austria,Legal in all cases,17.647058823529413
Austria,Legal in most cases,63.46153846153846
Belgium,Illegal in all cases,2.2618231665524333
Belgium,Illegal in most cases,8.224811514736121
Belgium,Legal in all cases,36.943111720356406
Belgium,Legal in most cases,52.57025359835503
Denmark,Illegal in all cases,1.36986301369863
Denmark,Illegal in most cases,3.8356164383561646
Denmark,Legal in all cases,56.232876712328775
Denmark,Legal in most cases,38.56164383561644
Finland,Illegal in all cases,2.8551532033426184
Finland,Illegal in most cases,6.337047353760446
Finland,Legal in all cases,47.07520891364902
Finland,Legal in most cases,43.73259052924791
France,Illegal in all cases,5.454545454545454
France,Illegal in most cases,9.943181818181818
France,Legal in all cases,28.18181818181818
France,Legal in most cases,56.42045454545455
Germany,Illegal in all cases,4.814305364511692
Germany,Illegal in most cases,11.600183402109124
Germany,Legal in all cases,19.16552040348464
Germany,Legal in most cases,64.41999082989454
Ireland,Illegal in all cases,8.749145591250855
Ireland,Illegal in most cases,16.609706083390293
Ireland,Legal in all cases,13.397129186602871
Ireland,Legal in most cases,61.24401913875598
Italy,Illegal in all cases,8.526256352343308
Italy,Illegal in most cases,16.149068322981368
Italy,Legal in all cases,17.6171654432524
Italy,Legal in most cases,57.70750988142292
Netherlands,Illegal in all cases,4.582763337893296
Netherlands,Illegal in most cases,8.002735978112176
Netherlands,Legal in all cases,37.14090287277701
Netherlands,Legal in most cases,50.27359781121751
Norway,Illegal in all cases,4.732510288065844
Norway,Illegal in most cases,11.385459533607682
Norway,Legal in all cases,40.46639231824417
Norway,Legal in most cases,43.41563786008231
Portugal,Illegal in all cases,9.058988764044944
Portugal,Illegal in most cases,20.435393258426966
Portugal,Legal in all cases,19.9438202247191
Portugal,Legal in most cases,50.56179775280899
Slovakia,Illegal in all cases,13.276231263383298
Slovakia,Illegal in most cases,12.776588151320489
Slovakia,Legal in all cases,40.32833690221271
Slovakia,Legal in most cases,33.61884368308351
Spain,Illegal in all cases,7.329462989840348
Spain,Illegal in most cases,10.88534107402032
Spain,Legal in all cases,32.075471698113205
Spain,Legal in most cases,49.709724238026126
Sweden,Illegal in all cases,1.307639366827254
Sweden,Illegal in most cases,2.271163110805231
Sweden,Legal in all cases,70.95664143152099
Sweden,Legal in most cases,25.464556090846525
Switzerland,Illegal in all cases,6.65068903535051
Switzerland,Illegal in most cases,11.324146195326543
Switzerland,Legal in all cases,15.278609946075496
Switzerland,Legal in most cases,66.74655482324745
United Kingdom,Illegal in all cases,6.191780821917808
United Kingdom,Illegal in most cases,11.123287671232877
United Kingdom,Legal in all cases,15.616438356164384
United Kingdom,Legal in most cases,67.06849315068493
