country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Turkey,0,0,0,0,0,98.9,0,1.1,100,6,2335
Bulgaria,0.5,0.6,73,1.1,0,24.7,0.1,0.2,100,3.7,1760
Russian Federation,0.5,0.2,84.9,0.3,0.2,13.9,0,0,100,3.4,1327
Greece,0.4,0.3,96.3,0.5,0,2.5,0,0,100,3.1,1898
Cyprus,0.6,0,98.8,0.1,0,0.2,0.1,0.2,100,3,1208
Romania,5.3,4.1,87.2,1.5,0,0.7,1.3,0,100,2.9,1977
Ukraine,11.9,1,82.8,2.7,0.4,0.6,0.1,0.7,100,2.8,1221
Estonia,1.5,27.3,64,5.1,0.5,1,0.2,0.5,100,2.8,411
Sweden,4,82.1,2.1,5.1,0.7,4.7,0.4,0.7,100,2.4,569
United Kingdom,21,64.6,0.2,2.6,0.8,7.3,2.4,1.1,100,2.3,1096
Norway,2.9,90.8,0.2,0.8,0.2,2.4,1.7,1,100,2.2,885
Denmark,1.9,92,0.1,1.5,0.1,3.5,0.7,0.3,100,2.2,892
Netherlands,46.6,38,0.4,2.7,1.4,7.3,2.7,0.8,100,2.1,731
Finland,0,95.7,2,2.2,0,0,0,0,100,2.1,1270
Latvia,36.3,29.4,27.1,6.7,0,0.1,0.1,0.1,100,2.1,925
Switzerland,45,42,1.5,2.4,0.4,6.6,0.9,1.3,100,2,1234
Germany,44,47.4,1,2.3,0.1,4,1,0.2,100,1.8,1669
Belgium,83.5,2.2,1,1.4,0.3,9.3,0.8,1.3,100,1.7,774
France,84.3,3.5,0.3,1.2,1.4,7.7,0.4,1.1,100,1.6,981
Czechia,85.9,3.7,0.2,7.4,0.7,0,1.1,1.1,100,1.4,461
Hungary,72,24.8,0,2.8,0.1,0.1,0.2,0,100,1.4,957
Slovakia,84.4,8.2,0.6,6.7,0,0.1,0.1,0,100,1.3,1367
Spain,93.2,0.5,1.3,1.2,0,3.2,0.2,0.3,100,1.3,1841
Slovenia,91.9,1.6,3,1.1,0,1.7,0.7,0.1,100,1.2,702
Ireland,91.6,5.1,0.8,1.2,0,0.9,0.3,0.2,100,1.2,1386
Croatia,93.3,0.3,5.1,0.5,0,0.6,0,0.2,100,1.2,1181
Portugal,96.3,1.3,0.6,1.3,0,0.2,0.2,0,100,1.1,2037
Poland,98.1,0.4,0.6,0.7,0,0.1,0.1,0,100,1,1489

