country,median_age
Armenia,47.0
Belarus,42.0
Bosnia and Herzegovina,52.0
Bulgaria,54.0
Croatia,53.0
Czech Republic,47.0
Estonia,55.0
Georgia,48.0
Greece,48.0
Hungary,50.0
Kazakhstan,38.0
Latvia,47.0
Lithuania,54.0
Moldova,50.0
Poland,50.0
Romania,46.0
Russia,42.0
Serbia,54.0
Ukraine,44.0
Austria,42.0
Belgium,50.0
Denmark,52.0
Finland,58.0
France,43.0
Germany,42.0
Ireland,42.0
Italy,44.0
Netherlands,52.0
Norway,54.0
Portugal,44.0
Slovakia,36.0
Spain,46.5
Sweden,54.0
Switzerland,42.0
United Kingdom,42.0
