country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Estonia,2.5,19.3,73.1,3.9,0,0,0.1,1,100,2.8,673
Sweden,4.4,76.3,2.3,3.4,0.4,8.9,1.9,2.5,100,2.7,528
United Kingdom,22.6,57.1,1.1,3.8,0,9.5,4.5,1.3,100,2.6,1077
Denmark,2.5,88.7,0.1,2.4,0.1,4.7,0.4,1.2,100,2.3,830
Norway,3.4,87.3,1.6,1.3,0,4,1.4,1,100,2.3,706
Netherlands,42.6,38.1,0.7,4.5,0,10.9,2,1.2,100,2.3,685
Finland,0.2,92.5,1.4,2.7,0.1,2.2,0.4,0.5,100,2.2,1009
Switzerland,49.2,36.6,2.9,1.9,0.4,6.6,2,0.4,100,2,953
Belgium,76.7,2.2,3.1,2.5,0.1,14,1,0.4,100,2,720
France,78,3.4,0.6,1.4,0.7,14.2,0.5,1.2,100,1.9,938
Germany,44.2,44.9,1.4,3.2,0.2,4.3,1.3,0.4,100,1.9,1841
Austria,83.9,5,2.2,1.5,0.2,6,0.8,0.5,100,1.5,1252
Czechia,84.2,6.4,0.5,6.4,0.8,0,0.3,1.6,100,1.4,373
Hungary,73.9,24.1,0.1,1.4,0.1,0.1,0.2,0,100,1.3,800
Slovenia,91.1,2,2.2,0.3,0.1,3.5,0.1,0.6,100,1.3,684
Spain,92.4,0.6,1.4,2.4,0,2.9,0.2,0.2,100,1.3,1255
Lithuania,91.9,0.7,5.9,1,0.2,0.3,0,0.1,100,1.2,1855
Ireland,93.6,2.6,0.6,1.3,0.3,0.7,0.8,0.1,100,1.2,1734
Portugal,94.6,0.8,0.4,3.4,0,0,0,0.7,100,1.2,913
Poland,98.6,0.5,0.2,0.5,0,0,0.1,0.1,100,1,1455
