country,Yes,No,Sum,Mean,N
Czechia,23.3,76.7,100,1.8,1997
Estonia,25.2,74.8,100,1.7,1652
Sweden,31.1,68.9,100,1.7,1828
Netherlands,41.3,58.7,100,1.6,1776
Belgium,44.2,55.8,100,1.6,1753
United Kingdom,46.8,53.2,100,1.5,2351
Latvia,47.4,52.6,100,1.5,1965
France,47.6,52.4,100,1.5,2064
Russian Federation,54,46,100,1.5,2457
Slovenia,55.2,44.8,100,1.4,1275
Denmark,56,44.1,100,1.4,1607
Norway,57.2,42.8,100,1.4,1548
Finland,58.4,41.6,100,1.4,2194
Germany,61,39,100,1.4,2741
Hungary,62.4,37.7,100,1.4,1538
Switzerland,68.4,31.6,100,1.3,1816
Ukraine,68.9,31.1,100,1.3,1769
Spain,71.8,28.2,100,1.3,2566
Slovakia,75.6,24.5,100,1.2,1779
Ireland,78.9,21.1,100,1.2,1760
Bulgaria,79.3,20.7,100,1.2,2223
Croatia,81.4,18.6,100,1.2,1469
Portugal,86.3,13.7,100,1.1,2363
Greece,91.9,8.1,100,1.1,2071
Poland,92.5,7.5,100,1.1,1610
Romania,93.6,6.4,100,1.1,2137
Turkey,97.1,2.9,100,1,2414
Cyprus,99.4,0.6,100,1,1208
