country,Yes,No,Sum,Mean,N
Czechia,27.9,72.2,100,1.7,1345
Sweden,29.2,70.8,100,1.7,2089
Netherlands,42.6,57.5,100,1.6,2357
United Kingdom,49,51,100,1.5,2578
France,49.2,50.8,100,1.5,1511
Belgium,49.8,50.2,100,1.5,1893
Norway,50.3,49.7,100,1.5,2035
Slovenia,51,48.9,100,1.5,1500
Denmark,56.4,43.6,100,1.4,1492
Switzerland,61.6,38.4,100,1.4,2024
Hungary,62.1,37.9,100,1.4,1774
Germany,62.9,37.1,100,1.4,2978
Austria,71.1,28.9,100,1.3,2232
Luxembourg,75.6,24.4,100,1.2,1527
Finland,75.8,24.2,100,1.2,1999
Italy,76.4,23.6,100,1.2,1197
Spain,77.7,22.2,100,1.2,1724
Ireland,81.1,18.9,100,1.2,2038
Portugal,85,15,100,1.1,1510
Poland,93.2,6.8,100,1.1,2100
Greece,97.1,2.9,100,1,2563
