country,Yes,No,Sum,Mean,N
Czechia,19.2,80.8,100,1.8,1982
Estonia,28.6,71.4,100,1.7,2359
Sweden,32.3,67.7,100,1.7,1844
Netherlands,36.3,63.7,100,1.6,1844
Belgium,41.4,58.6,100,1.6,1868
Iceland,42,58,100,1.6,745
United Kingdom,47.3,52.7,100,1.5,2278
Hungary,47.8,52.2,100,1.5,1963
France,48,52,100,1.5,1959
Finland,49,51,100,1.5,2197
Norway,50.8,49.2,100,1.5,1622
Denmark,54.4,45.5,100,1.5,1642
Slovenia,55.4,44.5,100,1.4,1250
Russian Federation,55.6,44.4,100,1.4,2403
Germany,63.1,36.9,100,1.4,2952
Switzerland,63.8,36.2,100,1.4,1485
Spain,64.1,35.9,100,1.4,1878
Ukraine,70.6,29.4,100,1.3,2089
Italy,75.8,24.3,100,1.2,943
Albania,76.4,23.6,100,1.2,1199
Ireland,76.5,23.5,100,1.2,2614
Slovakia,77,22.9,100,1.2,1836
Bulgaria,77.6,22.4,100,1.2,2254
Portugal,82.8,17.2,100,1.2,2147
Lithuania,87.2,12.8,100,1.1,2074
Poland,89.7,10.3,100,1.1,1883
Kosovo,97.1,2.9,100,1,1295
Cyprus,97.8,2.2,100,1,1116
