country,Yes,No,Sum,Mean,N
Czechia,20.6,79.4,100,1.8,2368
Estonia,25.8,74.2,100,1.7,1904
Netherlands,31.4,68.6,100,1.7,1670
Sweden,39.9,60.1,100,1.6,1529
Iceland,40.3,59.7,100,1.6,859
Latvia,42.8,57.2,100,1.6,913
United Kingdom,44.9,55.1,100,1.6,2201
Norway,45.2,54.8,100,1.5,1393
Belgium,46.2,53.8,100,1.5,1763
Hungary,48.8,51.2,100,1.5,1630
France,52.2,47.8,100,1.5,2002
Finland,54.3,45.7,100,1.5,1749
Slovenia,56.4,43.5,100,1.4,1312
Germany,56.6,43.4,100,1.4,2353
Switzerland,57.5,42.5,100,1.4,1537
Denmark,60.2,39.8,100,1.4,1568
Spain,61.9,38.1,100,1.4,1658
Ireland,64.9,35.1,100,1.4,2194
Croatia,69.1,30.9,100,1.3,1800
Slovakia,70.6,29.4,100,1.3,1065
Portugal,71.1,28.9,100,1.3,1054
Austria,74.2,25.8,100,1.3,2493
Bulgaria,78.6,21.4,100,1.2,2146
Italy,79.2,20.8,100,1.2,2703
Montenegro,82.8,17.2,100,1.2,1190
Serbia,83,17,100,1.2,2025
Lithuania,84.2,15.8,100,1.2,1811
Poland,86.7,13.3,100,1.1,1469
Cyprus,94.4,5.6,100,1.1,780
