country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Russian Federation,0.5,0.8,86.8,0.3,0,10.6,0.7,0.3,100,3.3,1359
Estonia,5.8,25.9,60.8,4.5,0.2,0.4,0.5,1.8,100,2.8,553
Sweden,5,76.9,2.2,2.6,0.2,10.8,1.4,1.2,100,2.6,585
United Kingdom,26,54.9,0,6.3,0,6.2,5.8,0.8,100,2.5,867
Norway,3.4,86.5,1.1,0.7,0,5.2,1.7,1.3,100,2.4,815
Netherlands,37.3,42.5,0.8,9.1,0.4,7.8,2.1,0.2,100,2.3,515
Finland,0.7,93,1.3,2.2,0,1.9,0.4,0.5,100,2.2,1047
Iceland,1.9,94.4,0.3,0,0,0.3,1.1,2.1,100,2.2,376
Germany,39.9,44.5,1.7,2.6,0.4,9.3,1.3,0.3,100,2.1,1716
Belgium,76.6,1.7,1.7,1.2,0.1,16.2,1.1,1.4,100,2.1,807
Switzerland,50.1,35.5,1.8,2.4,0.8,7.8,1.2,0.4,100,2,926
France,80.6,4.3,1.4,0.8,1,10.9,0.1,0.9,100,1.8,1065
Austria,82.9,6.2,2.1,1.2,0.3,6.5,0.3,0.4,100,1.5,1462
Czechia,84,6,1.6,5.6,0.7,0,0.7,1.8,100,1.4,449
Hungary,73.4,25.2,0.1,0.5,0.3,0,0,0.4,100,1.3,771
Spain,90.6,1.3,2.3,2.4,0,2.7,0.3,0.4,100,1.3,1288
Ireland,90,3.8,0.6,2.4,0,1.4,0.9,0.8,100,1.3,1966
Slovenia,91.7,1,3.5,0.1,0,3.5,0,0.1,100,1.3,797
Italy,93,0.4,2.1,1.5,0.1,2.4,0.5,0.2,100,1.2,1939
Portugal,94.3,0.8,0.6,3.3,0,0,0,1.1,100,1.2,931
Lithuania,94.9,0.3,4.8,0.1,0,0,0,0,100,1.1,1856
Poland,99,0,0.3,0.5,0,0.1,0.1,0,100,1,1513
