country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Greece,0.4,0.4,95.6,0.2,0.2,3,0,0.2,100,3.1,2489
United Kingdom,17.7,66,0.2,4.1,0.9,4.7,5,1.4,100,2.5,1257
Sweden,3.6,84,2,3.3,0.2,4.3,1.7,1,100,2.4,606
Norway,1.8,87.8,0.4,4.9,0,2.3,0.8,2.2,100,2.3,1019
Denmark,1.5,92.4,0.5,1.4,0.1,3.1,0.7,0.2,100,2.2,840
Netherlands,45.6,36.4,0.4,9.9,0.2,5.7,1.5,0.3,100,2.1,1001
Finland,0.2,95.8,1.3,2.2,0,0.3,0.1,0,100,2.1,1512
Germany,41.7,47.9,1.1,3.5,0.2,4.8,0.6,0.2,100,1.9,1865
Luxembourg,72.7,1.5,0.9,22.3,0,1.7,0.5,0.4,100,1.8,1143
Switzerland,49.1,45.9,0.7,1.4,0.2,1.5,0.4,0.7,100,1.7,1237
Belgium,88.2,1.2,0.3,2.7,0.3,5.6,0.4,1.2,100,1.5,918
Austria,87.1,4.7,1.7,2.1,0.1,2.8,1.3,0.3,100,1.4,1568
Hungary,71.4,25.8,0.4,1.7,0.1,0,0,0.6,100,1.4,1096
Czechia,85.9,10.1,0,3.2,0,0,0,1.1,100,1.3,375
Slovenia,93.4,0.7,2.5,0.4,0,2.6,0.4,0.1,100,1.2,769
Spain,97,0.6,0.1,0.8,0.2,1.1,0,0.2,100,1.1,1330
Ireland,95.2,3.2,0.1,1.3,0.1,0.2,0.1,0.1,100,1.1,1651
Portugal,97.3,0.9,0.1,1.6,0.1,0.2,0,0,100,1.1,1278
Poland,98.6,0.2,0.7,0.5,0,0,0,0.1,100,1,1954
Italy,98.6,0.9,0,0.3,0,0.1,0,0,100,1,914
