country,Yes,No,Sum,Mean,N
Estonia,21.4,78.7,100,1.8,1983
Czechia,26.6,73.4,100,1.7,2973
Sweden,32.1,67.9,100,1.7,1941
Netherlands,44.7,55.3,100,1.6,1879
Iceland,45.6,54.4,100,1.5,570
Belgium,46,54,100,1.5,1773
France,48.9,51.1,100,1.5,1810
Norway,50.1,49.9,100,1.5,1759
United Kingdom,51,49,100,1.5,1893
Hungary,53.8,46.2,100,1.5,1486
Denmark,60.4,39.5,100,1.4,1481
Germany,62,38,100,1.4,2852
Switzerland,69.3,30.7,100,1.3,2138
Slovenia,69.4,30.6,100,1.3,1022
Ukraine,70.3,29.7,100,1.3,1993
Luxembourg,70.5,29.5,100,1.3,1627
Spain,73.7,26.4,100,1.3,1639
Austria,74.2,25.7,100,1.3,2222
Slovakia,75.7,24.3,100,1.2,1496
Ireland,86.2,13.8,100,1.1,2283
Portugal,87.8,12.2,100,1.1,2044
Greece,90,10,100,1.1,2406
Poland,92.2,7.8,100,1.1,1712
Turkey,96.9,3.1,100,1,1845
Analysis:,https://ess.sikt.no/en/datafile/edee45f2-976b-4c8b-902d-b65dc003c92e?tab=1&elems=605d448f-c4fa-4a62-9113-94b551099c6a_1,,,,
https://doi.org/10.21338/ess2e03_6,,,,,
