country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Greece,0,0,98.3,0.6,0,0,0,1.1,100,3.1,2561
Cyprus,0.8,0.3,96.3,1.8,0,0.5,0,0.3,100,3,615
Serbia,3.4,0.4,93.4,0.1,0,2.5,0.1,0.1,100,3,1371
United Kingdom,21.7,48.8,2.8,3.8,0.7,15.3,5.5,1.3,100,2.9,687
Norway,4.1,81,1.8,1.4,0.2,8.6,1.2,2,100,2.5,511
Netherlands,32.5,46.9,0.4,2.8,0.6,11.8,2.6,2.2,100,2.5,465
Sweden,5.4,76.9,5.1,3.1,0.3,7.5,0.3,1.8,100,2.5,389
Iceland,13.8,76.7,0.3,2.2,0,1.6,0.3,5.7,100,2.3,318
Finland,0.5,90.1,3.6,2,0,2.5,0.4,0.8,100,2.2,746
Germany,46.1,36.2,2.8,4,0,10.2,0.3,0.5,100,2.1,1199
France,74.6,3.4,0.6,2.1,0.6,17.7,0.2,0.7,100,2.1,853
Belgium,75.4,3.1,1.4,2.2,0.3,15.5,0.6,1.4,100,2.1,651
Switzerland,49.9,33.5,3,2.4,0.7,8.4,1.9,0.3,100,2,702
Austria,82.2,4.5,2.9,0.8,0.4,8.1,0.8,0.3,100,1.6,1593
Slovenia,86.9,0.1,6.2,0.7,0,5.7,0.1,0.4,100,1.5,741
Ireland,87,3.2,0.8,4.5,0,2.1,0.6,1.7,100,1.4,1352
Spain,88.2,1.2,1.8,3.5,0.1,4,0.3,1,100,1.4,1037
Hungary,72,25.3,0.2,1.7,0.2,0,0.5,0,100,1.3,1309
Italy,92,0.7,2.1,0.6,0.2,3.2,0.4,0.9,100,1.3,2201
Slovakia,83.3,10.2,0.8,5.2,0,0,0,0.6,100,1.3,1044
Lithuania,92.8,0.6,3.8,0.9,0.1,0.1,0.7,0.9,100,1.2,1020
Croatia,93.4,0.3,4.1,0.2,0,1.7,0.1,0.3,100,1.2,1192
Portugal,92,5.5,0.4,1.1,0,0.4,0.3,0.2,100,1.2,984
Poland,99.2,0.4,0,0.3,0,0,0,0.2,100,1,1178
Analysis:,https://ess.sikt.no/en/datafile/242aaa39-3bbb-40f5-98bf-bfb1ce53d8ef/128?tab=1&elems=2163066c-a197-4e4e-87e2-916daf2800fb_3,,,,,,,,,,
https://doi.org/10.21338/ess11e02_0,,,,,,,,,,,
