country,Yes,No,Sum,Mean,N
Czechia,20.1,79.9,100,1.8,2251
Estonia,27.8,72.2,100,1.7,2018
Netherlands,30.9,69.1,100,1.7,1672
Sweden,37.9,62.1,100,1.6,1543
Iceland,42.9,57.1,100,1.6,876
United Kingdom,44.4,55.6,100,1.6,1953
Belgium,45.8,54.2,100,1.5,1764
Hungary,49.5,50.5,100,1.5,1581
France,52,48,100,1.5,2060
Norway,53,47.1,100,1.5,1540
Finland,54.5,45.5,100,1.5,1924
Russian Federation,57.8,42.2,100,1.4,2358
Germany,60.7,39.3,100,1.4,2849
Switzerland,61.1,38.9,100,1.4,1520
Slovenia,61.2,38.8,100,1.4,1305
Spain,66.3,33.7,100,1.3,1947
Ireland,72,28.1,100,1.3,2745
Austria,73.6,26.4,100,1.3,1998
Portugal,73.7,26.3,100,1.3,1270
Italy,75.4,24.6,100,1.2,2578
Lithuania,89.1,10.8,100,1.1,2096
Poland,91,9,100,1.1,1668
