country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Bulgaria,0.4,1,80.2,0.7,0.1,17.7,0,0.1,100,3.5,1929
Russian Federation,0.3,0.2,87.7,0.6,0.1,10.4,0.6,0.1,100,3.3,1454
Greece,1.6,0,95.7,0.2,0,2.1,0.1,0.3,100,3.1,2494
Cyprus,0.6,0,99,0.3,0,0,0.2,0,100,3,1066
Estonia,1.2,32.9,57.5,5.6,0,0,0,2.5,100,2.8,322
Ukraine,12.5,1.1,81.8,3,0,0.9,0.2,0.5,100,2.8,1315
United Kingdom,19.7,57.8,0.4,4.2,0.5,9.8,6.8,0.9,100,2.7,1054
Sweden,3,79.6,3.2,5,0.2,7.3,1.8,0.2,100,2.5,436
Norway,3.8,87.8,0.9,1.1,0.1,4.6,0.9,0.9,100,2.3,912
Denmark,2.3,90,0.3,1.4,0.1,4.1,0.8,0.8,100,2.3,899
Finland,0.4,94.9,2.1,1.3,0.1,0.6,0.4,0.3,100,2.1,1116
Netherlands,45.5,40.4,0.7,4.3,0,6.7,1.2,1.4,100,2,726
Switzerland,46.2,41.5,2.1,1.6,0.1,6.3,1.4,0.8,100,2,1007
Germany,42.6,46.4,1.6,3.7,0.1,4.7,0.8,0.1,100,1.9,1900
France,79.5,3.6,0.7,1.5,0.9,12.6,0.9,0.2,100,1.8,844
Belgium,81.2,2.5,1,2.4,0.6,11.2,0.8,0.3,100,1.8,717
Hungary,72.4,24.9,0,1.9,0.2,0.2,0.2,0.2,100,1.4,908
Slovakia,83.5,8.9,0.5,6.9,0,0.1,0.3,0,100,1.3,1555
Czechia,90.6,4.1,0.2,3.1,0.2,0,0.2,1.8,100,1.3,511
Spain,92.8,0.8,1.6,1.6,0,2.9,0.1,0.3,100,1.3,1284
Ireland,92.2,2.8,0.7,2.2,0.1,1.2,0.7,0.3,100,1.2,1976
Lithuania,90.7,1.7,5.7,0.9,0.2,0.5,0.3,0.1,100,1.2,1610
Slovenia,93.6,1.2,2.8,0.3,0,1.9,0,0.1,100,1.2,754
Portugal,95,0.9,0.3,3.1,0.1,0.3,0.2,0.1,100,1.1,1814
Croatia,95.8,0.1,3.2,0.5,0,0.2,0,0.2,100,1.1,1305
Poland,97.8,0.9,0.4,0.8,0,0.1,0,0.1,100,1,1587
