country,Yes,No,Sum,Mean,N
Estonia,27.6,72.4,100,1.7,1504
Sweden,31.6,68.3,100,1.7,2151
Netherlands,41,59,100,1.6,1888
Belgium,43.8,56.2,100,1.6,1795
United Kingdom,46.3,53.7,100,1.5,2970
Russian Federation,48.6,51.4,100,1.5,2360
France,48.7,51.3,100,1.5,1973
Slovenia,49.8,50.2,100,1.5,1453
Norway,55.1,44.9,100,1.4,1745
Hungary,56.5,43.5,100,1.4,1597
Denmark,60,40,100,1.4,1497
Finland,60.9,39,100,1.4,1892
Germany,64.2,35.8,100,1.4,2903
Spain,69.5,30.5,100,1.3,1871
Switzerland,70.5,29.5,100,1.3,1804
Ukraine,71.9,28.1,100,1.3,1944
Austria,73,27,100,1.3,2374
Bulgaria,75.7,24.3,100,1.2,1380
Slovakia,76,24,100,1.2,1751
Ireland,79.3,20.7,100,1.2,1785
Portugal,85.6,14.4,100,1.1,2215
Poland,92.8,7.2,100,1.1,1717
Cyprus,98.6,1.4,100,1,977
Analysis:,https://ess.sikt.no/en/datafile/89f49986-51f5-47e1-b3e1-e0e45f168415?tab=1&elems=1b6721f3-a4c1-4d45-a598-69ab332adb17_1,,,,
https://doi.org/10.21338/ess3e03_7,,,,,
