country,Yes,No,Sum,Mean,N
Netherlands,27.6,72.4,100,1.7,1690
Sweden,31.8,68.2,100,1.7,1228
Iceland,38.2,61.8,100,1.6,840
Norway,38.7,61.3,100,1.6,1329
Belgium,41.3,58.7,100,1.6,1588
United Kingdom,41.8,58.2,100,1.6,1674
Finland,47.9,52.1,100,1.5,1559
France,48.7,51.3,100,1.5,1756
Germany,50.2,49.8,100,1.5,2403
Switzerland,50.9,49.1,100,1.5,1381
Spain,56.6,43.4,100,1.4,1837
Slovenia,61.1,38.9,100,1.4,1231
Hungary,62.9,37.1,100,1.4,2101
Ireland,68.1,31.9,100,1.3,2002
Austria,68.4,31.6,100,1.3,2333
Portugal,71.9,28,100,1.3,1368
Slovakia,74.1,25.9,100,1.3,1417
Lithuania,76.2,23.8,100,1.2,1355
Croatia,76.6,23.4,100,1.2,1556
Italy,78.2,21.8,100,1.2,2821
Poland,83.5,16.5,100,1.2,1417
Serbia,89.1,10.9,100,1.1,1548
Cyprus,90.2,9.8,100,1.1,684
Greece,93.3,6.7,100,1.1,2749
Analysis:,https://ess.sikt.no/en/datafile/242aaa39-3bbb-40f5-98bf-bfb1ce53d8ef?tab=1&elems=63bcf46e-157e-490a-8b76-8d6b6aeef25e_1,,,,
https://doi.org/10.21338/ess11e02_0,,,,,
