country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Russian Federation,0.5,0.4,85.3,0.6,0,12.7,0.1,0.3,100,3.4,1148
Ukraine,11.6,4.7,80.3,1.7,0.1,0.9,0,0.7,100,2.8,1397
Estonia,3.4,25.9,64.8,3.2,0.7,1.2,0,0.7,100,2.8,409
Sweden,4,83.4,1.6,3,0.4,5.6,1.2,0.7,100,2.4,676
Norway,2.3,89,0.4,4,0,2.7,0.8,0.7,100,2.3,954
Denmark,1.1,92.3,0.1,1.3,0,3.3,1,0.6,100,2.2,897
Netherlands,42.5,37,0.5,11,0.1,6.6,1.6,0.6,100,2.2,770
Finland,0,96.4,1.9,0.6,0,0.4,0.3,0.3,100,2.1,1153
Switzerland,47,44.1,1.3,1,0.1,4.8,1.3,0.5,100,1.9,1263
Germany,43.5,48.8,0.4,1.2,0.3,4.9,0.5,0.4,100,1.8,1832
France,83.1,2.6,0.6,2.5,1.1,9.6,0.2,0.3,100,1.7,958
Belgium,88.5,1.3,0.9,1.3,0.5,7.3,0.3,0.1,100,1.5,783
Hungary,66.6,28.8,0,4.4,0.1,0,0,0,100,1.4,902
Slovakia,81.8,10.5,0.8,6.8,0.1,0.1,0,0,100,1.3,1322
Austria,90.1,4.8,0.6,0.9,0.2,1.8,1.2,0.4,100,1.3,1709
Slovenia,92.3,1.8,2.4,0.8,0,2.1,0.1,0.4,100,1.2,718
Spain,93.9,0.4,1.1,2.1,0,2.3,0.2,0.1,100,1.2,1300
Ireland,93.5,3.5,0.2,1.2,0.1,0.7,0.4,0.1,100,1.2,1373
Portugal,97.1,0.9,0,1.4,0.2,0.2,0.2,0.1,100,1.1,1880
Poland,98.7,0.3,0.3,0.6,0,0.1,0,0,100,1,1592
Analysis:,https://ess.sikt.no/en/datafile/89f49986-51f5-47e1-b3e1-e0e45f168415/65?tab=1&elems=0bdd990d-92cc-4472-b1e2-3c48908b0968_2,,,,,,,,,,
https://doi.org/10.21338/ess3e03_7,,,,,,,,,,,
