country,Yes,No,Sum,Mean,N
Czechia,18.2,81.8,100,1.8,2451
Estonia,24.6,75.4,100,1.8,1538
Netherlands,27.2,72.8,100,1.7,1465
United Kingdom,41.1,58.9,100,1.6,1148
Norway,42,58,100,1.6,1399
Belgium,42.3,57.6,100,1.6,1340
Iceland,43.1,56.9,100,1.6,895
Finland,48.1,51.9,100,1.5,1575
France,51.8,48.2,100,1.5,1951
Switzerland,53.8,46.1,100,1.5,1517
Hungary,58.7,41.3,100,1.4,1816
Slovenia,59.2,40.8,100,1.4,1247
Ireland,60.9,39.1,100,1.4,1760
Portugal,71,29,100,1.3,1829
Croatia,71.9,28.1,100,1.3,1585
Slovakia,73.5,26.5,100,1.3,1401
Italy,74.8,25.2,100,1.3,2606
Lithuania,75.5,24.5,100,1.2,1638
Bulgaria,86.4,13.6,100,1.1,2699
Montenegro,91,9,100,1.1,1244
Greece,91.5,8.5,100,1.1,2775
North Macedonia,96.1,3.9,100,1,1423
Analysis:,https://ess.sikt.no/en/datafile/f37d014a-6958-42d4-b03b-17c29e481d3d?tab=1&elems=8aee2d92-6a0f-41e8-814b-a94d1eb182b8_2,,,,
https://doi.org/10.21338/ess10e03_2,,,,,
