country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Kosovo,5.4,0.1,3.2,0,0,90.9,0.2,0.1,100,5.6,1258
Albania,11.7,0.1,12.4,0.7,0,74.1,0.4,0.5,100,5,916
Bulgaria,0.4,1.1,80.1,1,0,17.3,0,0.1,100,3.5,1746
Russian Federation,0.4,1.6,81.4,0.8,0.2,14.5,0.9,0,100,3.5,1320
Cyprus,0.6,0.3,96.9,0.5,0,1.1,0,0.5,100,3.1,1091
Estonia,3,21.1,68.4,4.1,0.2,0.8,1.2,1.4,100,2.9,664
Ukraine,11.5,1.8,82.8,2.4,0.2,0.5,0.1,0.7,100,2.8,1473
United Kingdom,21.5,56.4,0.4,4.6,0.7,9.3,6.1,1.1,100,2.6,1070
Sweden,3.9,76,3,3.9,0.2,11.1,1.2,1,100,2.6,596
Denmark,1.7,89,0.8,1,0.2,5.4,1.1,0.9,100,2.3,893
Norway,5.2,86.1,1.1,1.5,0.1,3.8,0.9,1.3,100,2.3,822
Iceland,1.9,93,0.6,0,0,0.3,1.3,2.9,100,2.2,313
Finland,0.4,93.1,2,2.2,0.1,1,0.6,0.6,100,2.2,1076
Netherlands,42.3,41.1,0.9,5.7,0,6.3,2.7,1.1,100,2.2,665
Belgium,76.8,2.6,1.7,0.8,0.5,15.6,1,1.2,100,2,767
Germany,43.5,44.9,1.6,2.9,0.2,5.4,1.1,0.5,100,1.9,1855
Switzerland,48.4,39.7,2.2,0.8,0.3,6.7,1.5,0.3,100,1.9,942
France,77.4,5.1,0.4,2.2,1.4,12,0.5,0.9,100,1.9,939
Czechia,84.1,4.2,0.5,8.2,0.8,0.5,0.3,1.3,100,1.5,377
Hungary,73.4,24.5,0,1.5,0.1,0,0.3,0.2,100,1.3,918
Slovakia,83.4,8.8,0.9,7,0.1,0,0,0,100,1.3,1406
Spain,91.9,1.4,1.7,1.2,0,2.7,0.7,0.4,100,1.3,1203
Slovenia,91.8,0.7,3.6,0.6,0,2.7,0.3,0.4,100,1.3,692
Italy,93.5,0.3,1.1,1.1,0.6,2.7,0.4,0.3,100,1.3,710
Ireland,91.7,3.5,0.9,1.7,0,1,0.8,0.5,100,1.2,1997
Lithuania,93.6,0.6,5,0.5,0.1,0,0.2,0.1,100,1.1,1808
Portugal,95.5,0.3,0.2,3.7,0,0.2,0,0,100,1.1,1767
Poland,98.7,0.4,0.3,0.5,0,0,0.1,0,100,1,1684
