country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Turkey,0,0,0.1,0,0.1,98.8,0,1.1,100,6,1787
Greece,1.2,0.5,95.7,0.1,0,2.4,0.1,0.1,100,3.1,2166
Ukraine,12.2,1.9,83.1,1.2,0,1.1,0.1,0.4,100,2.8,1402
Estonia,2.6,36.9,51.7,7.1,0,1,0,1,100,2.7,420
Norway,2.3,86.2,0.8,5.2,0,2.8,0.7,2,100,2.4,879
Sweden,3.2,87,1.3,4,0.2,2.6,0.8,1,100,2.3,622
Iceland,0,90.4,0,8.5,0,0,0.4,0.8,100,2.2,260
Denmark,1.9,92.8,0.1,1.8,0,2.1,0.2,0.9,100,2.2,890
Netherlands,48.6,38.4,0.2,7.3,0.2,3.8,1,0.6,100,1.9,836
Luxembourg,72.7,1.2,0.7,22,0.3,1.8,0.4,1,100,1.9,1141
Germany,45.6,44,1.5,2.6,0,5.4,0.5,0.3,100,1.9,1762
Switzerland,47.4,45.3,1.4,2,0.1,2.6,1.3,0.1,100,1.8,1480
Belgium,86.9,1.1,0.5,1.2,0,8.5,1,0.7,100,1.6,812
Slovakia,79.3,9,1.6,8.3,0.3,0.2,0.2,1.1,100,1.5,1138
Austria,89.3,4.9,1,1.5,0.1,2,0.9,0.4,100,1.3,1626
Czechia,87.8,8.8,0.8,1,0,0,0,1.5,100,1.2,780
Spain,93.9,0.7,0.7,1.7,0,2.2,0.4,0.4,100,1.2,1201
Slovenia,93.7,2.5,2.1,0.3,0,1.4,0,0.1,100,1.2,766
Portugal,97.2,0.3,0,2.2,0.2,0,0.2,0.1,100,1.1,1791
Ireland,96.2,3,0,0.6,0,0,0.1,0.1,100,1.1,1965
Poland,98.5,0.3,0.6,0.5,0,0.1,0,0,100,1,1579
Analysis:,https://ess.sikt.no/en/datafile/edee45f2-976b-4c8b-902d-b65dc003c92e/58?tab=1&elems=caf119a3-a088-4406-9f35-0e017c0d8f4e_2,,,,,,,,,,
https://doi.org/10.21338/ess2e03_6,,,,,,,,,,,
