country,Yes,No,Sum,Mean,N
Estonia,18.5,81.5,100,1.8,1787
Czechia,21.9,78.1,100,1.8,2370
Sweden,29.2,70.8,100,1.7,1495
Netherlands,39.8,60.2,100,1.6,1826
Belgium,42.2,57.8,100,1.6,1701
United Kingdom,44.3,55.7,100,1.6,2414
France,49.1,50.9,100,1.5,1723
Slovenia,54.1,45.9,100,1.5,1396
Denmark,57.6,42.4,100,1.4,1569
Russian Federation,57.6,42.4,100,1.4,2534
Hungary,58.8,41.2,100,1.4,1553
Norway,59.1,41,100,1.4,1545
Finland,59.8,40.2,100,1.4,1877
Germany,63.1,36.9,100,1.4,3023
Switzerland,67.8,32.2,100,1.3,1501
Spain,68.5,31.5,100,1.3,1879
Ukraine,70.6,29.4,100,1.3,1851
Ireland,77.1,22.9,100,1.2,2570
Slovakia,78.4,21.6,100,1.2,1982
Bulgaria,80,20,100,1.2,2419
Croatia,80.7,19.3,100,1.2,1636
Lithuania,81.8,18.2,100,1.2,1986
Portugal,84.7,15.3,100,1.2,2148
Poland,91,9,100,1.1,1743
Greece,92.2,7.8,100,1.1,2708
Cyprus,98.4,1.6,100,1,1083
Analysis:,https://ess.sikt.no/en/datafile/0189b86b-8aa4-4be3-88ad-39c58b02f19f?tab=1&elems=c1c5b501-e99b-4089-9920-6b18963926d8_1,,,,
https://doi.org/10.21338/ess5e03_5,,,,,
