country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Montenegro,3.9,0,64.6,1.5,0,29.9,0,0.1,100,3.8,1125
North Macedonia,0.1,0.7,75.4,0,0,23.8,0,0,100,3.7,1368
Bulgaria,0.2,0.6,82.9,0.6,0.2,15.5,0,0,100,3.5,2325
Greece,0.6,0,96.4,1.7,0,0.8,0.2,0.3,100,3.1,2533
Estonia,2.7,26.5,57.6,6.9,0.3,0.5,1.1,4.5,100,3,377
United Kingdom,18.1,58.7,1.7,5.1,0,9.8,3.8,3.2,100,2.7,470
Norway,2,87.8,0.5,1.9,0,5.8,0.5,1.4,100,2.4,588
Netherlands,36.6,46,0.8,3.5,0,10.6,1,1.8,100,2.3,396
Iceland,7.8,86.2,1,0.8,0,0,0.8,3.4,100,2.2,385
France,73.1,4.2,0.9,1.3,1.3,17.9,0.5,0.9,100,2.1,1007
Finland,0.3,94.6,2.8,1.1,0,0.7,0.1,0.7,100,2.1,756
Switzerland,48,33.6,4.4,2.5,0.2,8,2.7,0.6,100,2.1,815
Belgium,73.7,3.2,3.9,1.8,0.4,16.4,0.4,0.4,100,2,567
Czechia,83.8,3.7,0.5,7.1,1.8,0,0.9,2.1,100,1.5,437
Slovakia,77.6,10.4,1.5,9.3,0,0.3,0.6,0.3,100,1.5,1025
Ireland,85.7,4.4,1.3,3.6,0.1,2.3,0.7,2,100,1.5,1064
Slovenia,90,1.4,4.3,0.1,0,4.3,0,0,100,1.3,737
Italy,93.1,0.2,1.4,0.9,0.3,2.9,0.7,0.6,100,1.3,1937
Hungary,77.3,21.1,0.1,0.9,0.1,0,0,0.4,100,1.3,1060
Croatia,93.9,0.3,2.8,0.8,0.2,1.8,0.2,0.2,100,1.2,1129
Lithuania,93.1,1.4,3.9,0.7,0.3,0,0,0.6,100,1.2,1227
Portugal,93.6,3.1,0.4,1.5,0,0.5,0.1,0.8,100,1.2,1284
