country,Yes,No,Sum,Mean,N
Czechia,17.5,82.5,100,1.8,2137
Sweden,29.6,70.4,100,1.7,1783
Estonia,33.6,66.4,100,1.7,2039
Netherlands,35.9,64.1,100,1.6,1918
Belgium,41.2,58.8,100,1.6,1766
United Kingdom,48.1,51.9,100,1.5,2262
Finland,48.6,51.4,100,1.5,2082
Hungary,48.6,51.4,100,1.5,1670
Norway,49.2,50.8,100,1.5,1436
France,49.4,50.6,100,1.5,1908
Denmark,55.5,44.5,100,1.4,1497
Slovenia,56.3,43.7,100,1.4,1216
Germany,60.9,39.1,100,1.4,3033
Switzerland,62.7,37.3,100,1.4,1522
Spain,65.6,34.4,100,1.3,1919
Austria,70.6,29.4,100,1.3,1788
Portugal,72.5,27.5,100,1.3,1262
Ireland,73.6,26.3,100,1.3,2362
Lithuania,84.1,15.9,100,1.2,2219
Poland,90.4,9.6,100,1.1,1609
