country,Roman Catholic,Protestant,Eastern Orthodox,Other Christian denomination,Jewish,Islam,Eastern religions,Other Non-Christian religions,Sum,Mean,N
Montenegro,3.1,0,70.8,0,0,24.6,1.2,0,100,3.7,970
Bulgaria,0.7,1.1,81,0.8,0,16.3,0,0.1,100,3.5,1682
Cyprus,1,0.1,97.7,0.1,0.3,0.3,0,0.4,100,3,736
Serbia,5,1.1,91.3,0.4,0,2.2,0.1,0,100,3,1671
Estonia,1.8,30.7,57.9,4.7,0.4,0,2.2,2.5,100,2.9,489
Sweden,3.5,74.6,2.5,4.4,0.2,13.3,1,0.7,100,2.7,607
United Kingdom,22.8,54.9,2.3,4.1,0,7.6,6.4,1.9,100,2.6,985
Netherlands,35.8,41.2,0.6,5.8,0.2,13.1,1.9,1.3,100,2.5,520
Norway,3.8,84.6,2.1,1.6,0,4.5,2.4,1.1,100,2.4,628
Latvia,32.6,29.2,28.2,7.4,0,0,1.3,1.3,100,2.2,390
Denmark,3.2,89.5,0.2,2,0.1,4.1,0.6,0.2,100,2.2,943
Germany,38.2,45.4,1.8,3.6,0,7.7,2.1,1.1,100,2.2,1328
Iceland,4.3,91.6,0,0,0,0.3,0.9,2.9,100,2.2,345
Finland,0.2,93.2,1.8,2.3,0.1,1.5,0.5,0.3,100,2.2,943
Belgium,72.7,3.1,2.7,1.7,0.4,16.6,1.5,1.4,100,2.2,812
Switzerland,47.8,34,4.2,1.8,0.3,8.8,1.7,1.4,100,2.1,883
France,75.9,4.6,0.3,2.2,1.2,13.4,1.2,1.1,100,2,1043
Austria,79.1,6.3,2.9,1.9,0.2,8.9,0.7,0.1,100,1.7,1834
Slovakia,78.9,7.7,0.9,11.9,0,0,0.4,0.1,100,1.5,749
Slovenia,86.6,1.4,4.1,0.9,0.1,6.5,0,0.4,100,1.5,738
Czechia,86.3,5.4,0.6,4.8,0.6,0,0.6,1.9,100,1.4,483
Ireland,88.3,4.3,0.8,3.5,0.1,1.9,0.3,0.9,100,1.3,1416
Italy,91.8,0,2,1.1,0.1,3.8,1,0.2,100,1.3,2132
Spain,91.9,0.3,1.5,2.4,0,3.1,0.4,0.3,100,1.3,1022
Hungary,76.3,22.8,0.1,0.8,0,0,0,0,100,1.3,786
Croatia,93.4,0.4,3.4,1.1,0,0.9,0.1,0.6,100,1.2,1234
Portugal,94.4,1.2,0.4,3.3,0.1,0.3,0.1,0.1,100,1.2,749
Lithuania,95.9,0.5,3.4,0.2,0,0,0,0,100,1.1,1515
Poland,98.3,0.4,0.6,0.7,0,0,0,0,100,1,1271
Analysis:,https://ess.sikt.no/en/datafile/b2b0bf39-176b-4eca-8d26-3c05ea83d2cb/271?tab=1&elems=6afe845e-b072-41df-8b75-5ef5bb5c6dfc_5,,,,,,,,,,
https://doi.org/10.21338/ess9e03_2,,,,,,,,,,,
