country,economic_perception,percentage
Armenia,Somewhat bad,23.357664233576642
Armenia,Somewhat good,19.64167219641672
Armenia,Very bad,55.14266755142667
Armenia,Very good,1.85799601857996
Belarus,Somewhat bad,44.36519258202568
Belarus,Somewhat good,31.24108416547789
Belarus,Very bad,14.407988587731813
Belarus,Very good,9.985734664764621
Bosnia,Somewhat bad,25.032258064516128
Bosnia,Somewhat good,13.35483870967742
Bosnia,Very bad,60.70967741935483
Bosnia,Very good,0.903225806451613
Bulgaria,Somewhat bad,31.51969981238274
Bulgaria,Somewhat good,23.076923076923077
Bulgaria,Very bad,44.71544715447154
Bulgaria,Very good,0.6879299562226392
Croatia,Somewhat bad,34.49564134495641
Croatia,Somewhat good,21.29514321295143
Croatia,Very bad,43.33748443337485
Croatia,Very good,0.8717310087173101
Czech Republic,Somewhat bad,36.141304347826086
Czech Republic,Somewhat good,48.02989130434783
Czech Republic,Very bad,10.597826086956522
Czech Republic,Very good,5.230978260869565
Estonia,Somewhat bad,46.18669920683344
Estonia,Somewhat good,44.78340451494814
Estonia,Very bad,7.687614399023795
Estonia,Very good,1.342281879194631
Georgia,Somewhat bad,37.142857142857146
Georgia,Somewhat good,15.016611295681063
Georgia,Very bad,46.44518272425249
Georgia,Very good,1.3953488372093024
Greece,Somewhat bad,16.403568977350723
Greece,Somewhat good,2.8140013726835966
Greece,Very bad,78.38023335621139
Greece,Very good,2.4021962937542893
Hungary,Somewhat bad,38.29201101928375
Hungary,Somewhat good,39.25619834710744
Hungary,Very bad,20.66115702479339
Hungary,Very good,1.790633608815427
Kazakhstan,Somewhat bad,18.20480404551201
Kazakhstan,Somewhat good,60.366624525916556
Kazakhstan,Very bad,2.0859671302149176
Kazakhstan,Very good,19.342604298356513
Latvia,Somewhat bad,56.82539682539682
Latvia,Somewhat good,25.77777777777778
Latvia,Very bad,16.380952380952383
Latvia,Very good,1.0158730158730158
Lithuania,Somewhat bad,50.534759358288774
Lithuania,Somewhat good,35.89572192513369
Lithuania,Very bad,12.633689839572193
Lithuania,Very good,0.9358288770053476
Moldova,Somewhat bad,39.25967470555244
Moldova,Somewhat good,6.28154795288839
Moldova,Very bad,53.95401009534493
Moldova,Very good,0.5047672462142456
Poland,Somewhat bad,46.39608117564731
Poland,Somewhat good,39.67809657102869
Poland,Very bad,11.966410076976906
Poland,Very good,1.959412176347096
Romania,Somewhat bad,39.985272459499264
Romania,Somewhat good,36.156111929307805
Romania,Very bad,18.77761413843888
Romania,Very good,5.08100147275405
Russia,Somewhat bad,44.27839453458582
Russia,Somewhat good,37.53202391118702
Russia,Very bad,14.005123825789923
Russia,Very good,4.184457728437233
Serbia,Somewhat bad,31.666666666666664
Serbia,Somewhat good,26.346153846153847
Serbia,Very bad,41.217948717948715
Serbia,Very good,0.7692307692307693
Ukraine,Somewhat bad,27.080692860160543
Ukraine,Somewhat good,1.4786649767638362
Ukraine,Very bad,71.31389945078158
Ukraine,Very good,0.12674271229404308
