country,religion,percentage
Armenia,Atheist,1.31
Armenia,Christian,97.24
Armenia,Other,1.45
Belgium,Atheist,1.73
Belgium,Christian,93.55
Belgium,Jewish,2.4
Belgium,Nothing in particular,1.8
Belgium,Other,0.53
Bosnia,Agnostic,0.97
Bosnia,Atheist,1.75
Bosnia,Christian,45.64
Bosnia,Muslim,50.94
Bosnia,Other,0.71
Bulgaria,Agnostic,0.81
Bulgaria,Atheist,2.04
Bulgaria,Christian,82.9
Bulgaria,Muslim,12.39
Bulgaria,Nothing in particular,1.67
Bulgaria,Other,0.19
Croatia,Agnostic,1.8
Croatia,Atheist,3.79
Croatia,Christian,91.12
Croatia,Muslim,1.12
Croatia,Nothing in particular,1.24
Croatia,Other,0.93
Czech Republic,Atheist,25.1
Czech Republic,Christian,25.85
Czech Republic,Nothing in particular,46.89
Czech Republic,Other,2.17
Estonia,Agnostic,1.02
Estonia,Atheist,7.28
Estonia,Christian,55.62
Estonia,Nothing in particular,31.69
Estonia,Old believer/old ritualist,0.84
Estonia,Other,3.55
Georgia,Christian,91.45
Georgia,Muslim,8.02
Georgia,Other,0.52
Greece,Atheist,3.09
Greece,Christian,93.41
Greece,Muslim,2.06
Greece,Nothing in particular,0.89
Greece,Other,0.55
Hungary,Atheist,5.18
Hungary,Christian,77.16
Hungary,Nothing in particular,14.79
Hungary,Other,2.86
Kazakhstan,Atheist,3.52
Kazakhstan,Christian,32.02
Kazakhstan,Muslim,61.65
Kazakhstan,Nothing in particular,2.39
Kazakhstan,Other,0.42
Latvia,Atheist,2.38
Latvia,Christian,78.77
Latvia,Nothing in particular,17.08
Latvia,Old believer/old ritualist,1.22
Latvia,Other,0.55
Lithuania,Atheist,1.02
Lithuania,Christian,92.73
Lithuania,Nothing in particular,4.21
Lithuania,Other,2.04
Moldova,Atheist,0.93
Moldova,Christian,98.14
Moldova,Other,0.93
Poland,Atheist,1.84
Poland,Christian,93.99
Poland,Nothing in particular,3.21
Poland,Other,0.96
Romania,Christian,97.2
Romania,Other,2.8
Russia,Agnostic,0.57
Russia,Atheist,3.42
Russia,Buddhist,0.53
Russia,Christian,60.31
Russia,Muslim,25.88
Russia,Nothing in particular,8.76
Russia,Other,0.53
Serbia,Atheist,2.93
Serbia,Christian,93.3
Serbia,Muslim,1.4
Serbia,Nothing in particular,1.47
Serbia,Other,0.89
Ukraine,Atheist,1.5
Ukraine,Christian,94.63
Ukraine,Muslim,0.42
Ukraine,Nothing in particular,2.96
Ukraine,Other,0.5
