country,religion,percentage
Austria,Agnostic,1.12
Austria,Atheist,7.61
Austria,Christian,77.06
Austria,Nothing in particular,10.86
Austria,Other,3.36
Belgium,Agnostic,5.01
Belgium,Atheist,18.62
Belgium,Christian,55.34
Belgium,Don't know,0.2
Belgium,Nothing in particular,14.69
Belgium,Other,6.14
Denmark,Agnostic,2.08
Denmark,Atheist,15.11
Denmark,Christian,68.17
Denmark,Don't know,0.34
Denmark,Nothing in particular,10.01
Denmark,Other,4.3
Finland,Agnostic,2.27
Finland,Atheist,4.68
Finland,Christian,78.62
Finland,Don't know,0.13
Finland,Nothing in particular,12.96
Finland,Other,1.34
France,Agnostic,1.23
France,Atheist,12.45
France,Christian,66.24
France,Don't know,0.17
France,Nothing in particular,12.73
France,Other,7.18
Germany,Agnostic,1.04
Germany,Atheist,11.55
Germany,Christian,69.29
Germany,Nothing in particular,14.31
Germany,Other,3.8
Ireland,Agnostic,1.34
Ireland,Atheist,6.42
Ireland,Christian,80.74
Ireland,Don't know,0.13
Ireland,Nothing in particular,7.63
Ireland,Other,3.75
Italy,Agnostic,1.17
Italy,Atheist,6.44
Italy,Christian,79.61
Italy,Don't know,0.06
Italy,Nothing in particular,8.83
Italy,Other,3.89
Netherlands,Agnostic,3.41
Netherlands,Atheist,13.45
Netherlands,Christian,42.64
Netherlands,Don't know,0.07
Netherlands,Nothing in particular,31.19
Netherlands,Other,9.24
Norway,Agnostic,5.21
Norway,Atheist,11.16
Norway,Christian,53.77
Norway,Don't know,0.07
Norway,Nothing in particular,24.65
Norway,Other,5.14
Portugal,Agnostic,4.14
Portugal,Atheist,6.34
Portugal,Christian,78.79
Portugal,Don't know,0.07
Portugal,Nothing in particular,8.74
Portugal,Other,1.93
Slovak Republic,Agnostic,0.74
Slovak Republic,Atheist,15.48
Slovak Republic,Christian,72.86
Slovak Republic,Nothing in particular,8.78
Slovak Republic,Other,2.14
Spain,Agnostic,6.37
Spain,Atheist,9.85
Spain,Christian,64.08
Spain,Don't know,0.13
Spain,Nothing in particular,16.22
Spain,Other,3.35
Sweden,Agnostic,4.9
Sweden,Atheist,14.17
Sweden,Christian,53.73
Sweden,Don't know,0.74
Sweden,Nothing in particular,21.22
Sweden,Other,5.24
Switzerland,Agnostic,1.07
Switzerland,Atheist,8.9
Switzerland,Christian,75.73
Switzerland,Nothing in particular,10.98
Switzerland,Other,3.32
United Kingdom,Agnostic,1.41
United Kingdom,Atheist,9.89
United Kingdom,Christian,69.36
United Kingdom,Don't know,0.05
United Kingdom,Nothing in particular,15.05
United Kingdom,Other,4.24
